,feature,score
0,N,0.5039332682431842
1,P,0.1129752002666196
3,pH,0.04515780281022476
2,K,0.04040413250678555
11,B,0.04011786942310252
9,Cu,0.03952313910383258
10,Mn,0.03892685667858409
7,Zn,0.03697459456283377
4,EC,0.03584846584775728
8,Fe,0.035760890385828456
6,S,0.03528354627320952
5,OC,0.03509423389803773
