,n_estimators,accuracy
0,10,0.9931818181818182
1,25,0.9931818181818182
2,50,0.9954545454545455
3,100,0.9954545454545455
4,150,0.9954545454545455
5,200,0.9954545454545455
6,300,0.9931818181818182
