,feature,mutual_info,chi2,rf_importance,extratrees,lasso,rfe,mean_score
6,rainfall,0.9030126410713896,0.3244651461608777,0.999999999402401,0.9000451164971524,0.9999999999669428,1.0,0.8545871505164606
2,K,0.9016800708924501,0.9999999999999718,0.7679671604776512,0.8528957514669467,0.7326098638680137,0.7142857142857143,0.8282397601651247
4,humidity,0.9999999999022211,0.0,0.9845646045355968,0.9999999993734029,0.8854385818614329,0.8571428571428571,0.7878576738025851
1,P,0.5744124206082588,0.4385295765555942,0.5918478189848697,0.5330957074079169,0.6461266996278918,0.5714285714285714,0.5592401324355172
0,N,0.29859302583726777,0.23037685347329384,0.3050851353485699,0.37471365913353966,0.5674303757320897,0.42857142857142855,0.36746174634936485
3,temperature,0.28033358206785103,0.06158399173583643,0.13852422180583984,0.2054598411378965,0.1110400377026487,0.2857142857142857,0.18044266002739304
5,ph,0.0,0.014609425175534128,0.0,0.0,0.0,0.14285714285714285,0.02624442800544616
