,feature,score
0,N,2.1108023273120717
1,P,0.5533994312985051
11,B,0.27053994277037646
10,Mn,0.10119899376232322
3,pH,0.06101644549593535
6,S,0.052429504560849376
7,Zn,0.04973251750467808
2,K,0.04474755957695595
5,OC,0.03760776797640446
8,Fe,0.03473654378977573
9,Cu,0.02537198861170832
4,EC,0.02008011673109514
