,feature,score
0,N,0.5301963692247134
1,P,0.13426964611349718
3,pH,0.046566566435743285
9,Cu,0.03920164118166128
8,Fe,0.03919130829840274
2,K,0.035651339175130435
10,Mn,0.03491127273929988
11,B,0.033841743660744224
7,Zn,0.02881621920822951
6,S,0.027212281452128638
5,OC,0.025126495293432614
4,EC,0.02501511721701694
