,feature,score
2,K,4196.971359790964
1,P,2205.1909983070473
6,rainfall,1800.554738020485
0,N,1466.7825466536756
3,temperature,868.0006818763524
5,ph,701.3614160178577
4,humidity,649.5354160325169
