,Family,Mean Accuracy,Std Accuracy,Mean F1,Mean CV,Classifiers,Count
3,Neural,0.990909090909091,0.0,0.990894856106666,0.9630681818181819,MLP,1
0,Tree-Based,0.9881818181818183,0.004406981688560313,0.9881316856231029,0.9888636363636364,"RandomForest, GradientBoosting, DecisionTree, XGBoost, LightGBM",5
1,Probabilistic,0.9840909090909091,0.011363636363636354,0.9839535894764043,0.9809659090909091,"GaussianNB, LogisticRegression",2
2,Distance-Based,0.9818181818181818,0.0,0.9817369194776128,0.9664772727272727,KNN,1
