,feature,score
0,N,0.5061275597878621
1,P,0.1577725845160618
3,pH,0.07795532721620124
2,K,0.047578270454604166
8,Fe,0.035266362014110264
10,Mn,0.015222632791529023
5,OC,0.0062699639412033825
11,B,0.006113810577947021
4,EC,0.005017011688376538
7,Zn,0.004715713217959383
9,Cu,0.004061729344523313
6,S,0.0
