,classifier_1,classifier_2,rank_diff,CD,significant
0,RandomForest,SVM_RBF,2.0000000000000004,4.283647813349612,False
1,RandomForest,KNN,5.549999999999999,4.283647813349612,True
2,RandomForest,DecisionTree,1.2500000000000004,4.283647813349612,False
3,RandomForest,GradientBoosting,2.5500000000000003,4.283647813349612,False
4,RandomForest,LogisticRegression,4.949999999999999,4.283647813349612,True
5,RandomForest,MLP,5.25,4.283647813349612,True
6,RandomForest,GaussianNB,0.6499999999999999,4.283647813349612,False
7,RandomForest,XGBoost,0.1499999999999999,4.283647813349612,False
8,RandomForest,LightGBM,0.04999999999999982,4.283647813349612,False
9,SVM_RBF,KNN,3.549999999999999,4.283647813349612,False
10,SVM_RBF,DecisionTree,0.75,4.283647813349612,False
11,SVM_RBF,GradientBoosting,0.5499999999999998,4.283647813349612,False
12,SVM_RBF,LogisticRegression,2.9499999999999993,4.283647813349612,False
13,SVM_RBF,MLP,3.25,4.283647813349612,False
14,SVM_RBF,GaussianNB,2.6500000000000004,4.283647813349612,False
15,SVM_RBF,XGBoost,1.8500000000000005,4.283647813349612,False
16,SVM_RBF,LightGBM,2.0500000000000003,4.283647813349612,False
17,KNN,DecisionTree,4.299999999999999,4.283647813349612,True
18,KNN,GradientBoosting,2.999999999999999,4.283647813349612,False
19,KNN,LogisticRegression,0.5999999999999996,4.283647813349612,False
20,KNN,MLP,0.29999999999999893,4.283647813349612,False
21,KNN,GaussianNB,6.199999999999999,4.283647813349612,True
22,KNN,XGBoost,5.3999999999999995,4.283647813349612,True
23,KNN,LightGBM,5.6,4.283647813349612,True
24,DecisionTree,GradientBoosting,1.2999999999999998,4.283647813349612,False
25,DecisionTree,LogisticRegression,3.6999999999999993,4.283647813349612,False
26,DecisionTree,MLP,4.0,4.283647813349612,False
27,DecisionTree,GaussianNB,1.9000000000000004,4.283647813349612,False
28,DecisionTree,XGBoost,1.1000000000000005,4.283647813349612,False
29,DecisionTree,LightGBM,1.3000000000000003,4.283647813349612,False
30,GradientBoosting,LogisticRegression,2.3999999999999995,4.283647813349612,False
31,GradientBoosting,MLP,2.7,4.283647813349612,False
32,GradientBoosting,GaussianNB,3.2,4.283647813349612,False
33,GradientBoosting,XGBoost,2.4000000000000004,4.283647813349612,False
34,GradientBoosting,LightGBM,2.6,4.283647813349612,False
35,LogisticRegression,MLP,0.3000000000000007,4.283647813349612,False
36,LogisticRegression,GaussianNB,5.6,4.283647813349612,True
37,LogisticRegression,XGBoost,4.8,4.283647813349612,True
38,LogisticRegression,LightGBM,5.0,4.283647813349612,True
39,MLP,GaussianNB,5.9,4.283647813349612,True
40,MLP,XGBoost,5.1000000000000005,4.283647813349612,True
41,MLP,LightGBM,5.300000000000001,4.283647813349612,True
42,GaussianNB,XGBoost,0.7999999999999998,4.283647813349612,False
43,GaussianNB,LightGBM,0.6000000000000001,4.283647813349612,False
44,XGBoost,LightGBM,0.19999999999999973,4.283647813349612,False
