,feature,score
0,N,235.3900235976011
1,P,73.6507774177752
3,pH,33.58285644909499
7,Zn,31.96033287828737
8,Fe,9.127217758468111
10,Mn,8.212824652604583
5,OC,6.316835194663094
11,B,4.8156101375480995
9,Cu,3.6352975142794355
6,S,3.181257417724221
2,K,2.189853587773021
4,EC,0.7746147533968404
